Item1,Item2,Time,Book
Saracen,Mr. Squeers,203,nicholas-nickleby
Saracen,Snow Hill,203,nicholas-nickleby
Saracen,Annual,203,nicholas-nickleby
Snow Hill,Mr. Wackford Squeers,203,nicholas-nickleby
Snow Hill,Academy,203,nicholas-nickleby
Snow Hill,Dotheboys Hall,203,nicholas-nickleby
Snow Hill,Mr. Squeers,203,nicholas-nickleby
Snow Hill,Saracen,203,nicholas-nickleby
Snow Hill,Annual,203,nicholas-nickleby
Annual,Mr. Wackford Squeers,203,nicholas-nickleby
Annual,Academy,203,nicholas-nickleby
Annual,Dotheboys Hall,203,nicholas-nickleby
Annual,Mr. Squeers,203,nicholas-nickleby
Annual,Saracen,203,nicholas-nickleby
Annual,Snow Hill,203,nicholas-nickleby
Ralph,Ralph Nickleby,209,nicholas-nickleby
Ralph Nickleby,Ralph,209,nicholas-nickleby
Ralph,Make,215,nicholas-nickleby
Make,Ralph,215,nicholas-nickleby
Nicholas,Kate,220,nicholas-nickleby
Kate,Nicholas,220,nicholas-nickleby
Kate,Nicholas,220,nicholas-nickleby
Nicholas,Kate,220,nicholas-nickleby
Mr. Ralph Nickleby,Nicholas,221,nicholas-nickleby
Mr. Ralph Nickleby,Nicholas,221,nicholas-nickleby
Mr. Ralph Nickleby,Mr. Squeers,221,nicholas-nickleby
Mr. Ralph Nickleby,Nicholas,221,nicholas-nickleby
Mr. Ralph Nickleby,Miss Nickleby,221,nicholas-nickleby
Nicholas,Mr. Ralph Nickleby,221,nicholas-nickleby
Nicholas,Mr. Squeers,221,nicholas-nickleby
Nicholas,Miss Nickleby,221,nicholas-nickleby
Nicholas,Mr. Ralph Nickleby,221,nicholas-nickleby
Nicholas,Mr. Squeers,221,nicholas-nickleby
Nicholas,Miss Nickleby,221,nicholas-nickleby
Mr. Squeers,Mr. Ralph Nickleby,221,nicholas-nickleby
Mr. Squeers,Nicholas,221,nicholas-nickleby
Mr. Squeers,Nicholas,221,nicholas-nickleby
Mr. Squeers,Nicholas,221,nicholas-nickleby
Mr. Squeers,Miss Nickleby,221,nicholas-nickleby
Nicholas,Mr. Ralph Nickleby,221,nicholas-nickleby
Nicholas,Mr. Squeers,221,nicholas-nickleby
Nicholas,Miss Nickleby,221,nicholas-nickleby
Miss Nickleby,Mr. Ralph Nickleby,221,nicholas-nickleby
Miss Nickleby,Nicholas,221,nicholas-nickleby
Miss Nickleby,Nicholas,221,nicholas-nickleby
Miss Nickleby,Mr. Squeers,221,nicholas-nickleby
Miss Nickleby,Nicholas,221,nicholas-nickleby
Snow,Hill,226,nicholas-nickleby
