Item1,Item2,Time
George Jones,William Williams,653
George Jones,Bob Glamour,653
George Jones,Jonathan,653
George Jones,Williams,653
George Jones,Bob,653
George Jones,Jonathan,653
George Jones,Miss Abbey,653
George Jones,Miss Abbey,653
George Jones,Miss Abbey,653
George Jones,Miss Abbey,653
George Jones,Tom Tootle,653
George Jones,Jack Mullins,653
George Jones,Tootle,653
George Jones,Mullins,653
George Jones,Miss Abbey,653
Jones,Gaffer,653
Jones,Miss Abbey,653
Jones,George Jones,653
Jones,Miss Abbey,653
Jones,William Williams,653
Jones,Bob Glamour,653
Jones,Jonathan,653
Jones,Williams,653
Jones,Bob,653
Jones,Jonathan,653
Jones,Miss Abbey,653
Jones,Miss Abbey,653
Jones,Miss Abbey,653
Jones,Miss Abbey,653
Jones,Tom Tootle,653
Jones,Jack Mullins,653
Jones,Tootle,653
Jones,Mullins,653
Jones,Miss Abbey,653
Miss Abbey,Gaffer,653
Miss Abbey,George Jones,653
Miss Abbey,Jones,653
Miss Abbey,William Williams,653
Miss Abbey,Bob Glamour,653
Miss Abbey,Jonathan,653
Miss Abbey,Williams,653
Miss Abbey,Bob,653
Miss Abbey,Jonathan,653
Miss Abbey,Tom Tootle,653
Miss Abbey,Jack Mullins,653
Miss Abbey,Tootle,653
Miss Abbey,Mullins,653
William Williams,Gaffer,653
William Williams,Miss Abbey,653
William Williams,George Jones,653
William Williams,Jones,653
William Williams,Miss Abbey,653
William Williams,Bob Glamour,653
William Williams,Jonathan,653
William Williams,Williams,653
William Williams,Bob,653
William Williams,Jonathan,653
William Williams,Miss Abbey,653
William Williams,Miss Abbey,653
William Williams,Miss Abbey,653
William Williams,Miss Abbey,653
William Williams,Tom Tootle,653
William Williams,Jack Mullins,653
William Williams,Tootle,653
William Williams,Mullins,653
William Williams,Miss Abbey,653
Bob Glamour,Gaffer,653
Bob Glamour,Miss Abbey,653
Bob Glamour,George Jones,653
Bob Glamour,Jones,653
Bob Glamour,Miss Abbey,653
Bob Glamour,William Williams,653
Bob Glamour,Jonathan,653
Bob Glamour,Williams,653
Bob Glamour,Bob,653
Bob Glamour,Jonathan,653
Bob Glamour,Miss Abbey,653
Bob Glamour,Miss Abbey,653
Bob Glamour,Miss Abbey,653
Bob Glamour,Miss Abbey,653
Bob Glamour,Tom Tootle,653
Bob Glamour,Jack Mullins,653
Bob Glamour,Tootle,653
Bob Glamour,Mullins,653
Bob Glamour,Miss Abbey,653
Jonathan,Gaffer,653
Jonathan,Miss Abbey,653
Jonathan,George Jones,653
Jonathan,Jones,653
Jonathan,Miss Abbey,653
Jonathan,William Williams,653
Jonathan,Bob Glamour,653
Jonathan,Williams,653
Jonathan,Bob,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Tom Tootle,653
Jonathan,Jack Mullins,653
Jonathan,Tootle,653
Jonathan,Mullins,653
Jonathan,Miss Abbey,653
Williams,Gaffer,653
Williams,Miss Abbey,653
Williams,George Jones,653
Williams,Jones,653
Williams,Miss Abbey,653
Williams,William Williams,653
Williams,Bob Glamour,653
Williams,Jonathan,653
Williams,Bob,653
Williams,Jonathan,653
Williams,Miss Abbey,653
Williams,Miss Abbey,653
Williams,Miss Abbey,653
Williams,Miss Abbey,653
Williams,Tom Tootle,653
Williams,Jack Mullins,653
Williams,Tootle,653
Williams,Mullins,653
Williams,Miss Abbey,653
Bob,Gaffer,653
Bob,Miss Abbey,653
Bob,George Jones,653
Bob,Jones,653
Bob,Miss Abbey,653
Bob,William Williams,653
Bob,Bob Glamour,653
Bob,Jonathan,653
Bob,Williams,653
Bob,Jonathan,653
Bob,Miss Abbey,653
Bob,Miss Abbey,653
Bob,Miss Abbey,653
Bob,Miss Abbey,653
Bob,Tom Tootle,653
Bob,Jack Mullins,653
Bob,Tootle,653
Bob,Mullins,653
Bob,Miss Abbey,653
Jonathan,Gaffer,653
Jonathan,Miss Abbey,653
Jonathan,George Jones,653
Jonathan,Jones,653
Jonathan,Miss Abbey,653
Jonathan,William Williams,653
Jonathan,Bob Glamour,653
Jonathan,Williams,653
Jonathan,Bob,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Miss Abbey,653
Jonathan,Tom Tootle,653
Jonathan,Jack Mullins,653
Jonathan,Tootle,653
Jonathan,Mullins,653
Jonathan,Miss Abbey,653
Miss Abbey,Gaffer,653
Miss Abbey,George Jones,653
Miss Abbey,Jones,653
Miss Abbey,William Williams,653
Miss Abbey,Bob Glamour,653
Miss Abbey,Jonathan,653
Miss Abbey,Williams,653
Miss Abbey,Bob,653
Miss Abbey,Jonathan,653
Miss Abbey,Tom Tootle,653
Miss Abbey,Jack Mullins,653
Miss Abbey,Tootle,653
Miss Abbey,Mullins,653
Miss Abbey,Gaffer,653
Miss Abbey,George Jones,653
Miss Abbey,Jones,653
Miss Abbey,William Williams,653
Miss Abbey,Bob Glamour,653
Miss Abbey,Jonathan,653
Miss Abbey,Williams,653
Miss Abbey,Bob,653
Miss Abbey,Jonathan,653
Miss Abbey,Tom Tootle,653
Miss Abbey,Jack Mullins,653
Miss Abbey,Tootle,653
Miss Abbey,Mullins,653
Miss Abbey,Gaffer,653
Miss Abbey,George Jones,653
Miss Abbey,Jones,653
Miss Abbey,William Williams,653
Miss Abbey,Bob Glamour,653
Miss Abbey,Jonathan,653
Miss Abbey,Williams,653
Miss Abbey,Bob,653
Miss Abbey,Jonathan,653
Miss Abbey,Tom Tootle,653
Miss Abbey,Jack Mullins,653
Miss Abbey,Tootle,653
Miss Abbey,Mullins,653
Miss Abbey,Gaffer,653
Miss Abbey,George Jones,653
Miss Abbey,Jones,653
Miss Abbey,William Williams,653
Miss Abbey,Bob Glamour,653
Miss Abbey,Jonathan,653
Miss Abbey,Williams,653
Miss Abbey,Bob,653
Miss Abbey,Jonathan,653
Miss Abbey,Tom Tootle,653
Miss Abbey,Jack Mullins,653
Miss Abbey,Tootle,653
Miss Abbey,Mullins,653
Tom Tootle,Gaffer,653
Tom Tootle,Miss Abbey,653
Tom Tootle,George Jones,653
Tom Tootle,Jones,653
Tom Tootle,Miss Abbey,653
Tom Tootle,William Williams,653
Tom Tootle,Bob Glamour,653
Tom Tootle,Jonathan,653
Tom Tootle,Williams,653
Tom Tootle,Bob,653
Tom Tootle,Jonathan,653
Tom Tootle,Miss Abbey,653
Tom Tootle,Miss Abbey,653
Tom Tootle,Miss Abbey,653
Tom Tootle,Miss Abbey,653
Tom Tootle,Jack Mullins,653
Tom Tootle,Tootle,653
Tom Tootle,Mullins,653
Tom Tootle,Miss Abbey,653
Jack Mullins,Gaffer,653
Jack Mullins,Miss Abbey,653
Jack Mullins,George Jones,653
Jack Mullins,Jones,653
Jack Mullins,Miss Abbey,653
Jack Mullins,William Williams,653
Jack Mullins,Bob Glamour,653
Jack Mullins,Jonathan,653
Jack Mullins,Williams,653
Jack Mullins,Bob,653
Jack Mullins,Jonathan,653
Jack Mullins,Miss Abbey,653
Jack Mullins,Miss Abbey,653
Jack Mullins,Miss Abbey,653
Jack Mullins,Miss Abbey,653
Jack Mullins,Tom Tootle,653
Jack Mullins,Tootle,653
Jack Mullins,Mullins,653
Jack Mullins,Miss Abbey,653
Tootle,Gaffer,653
Tootle,Miss Abbey,653
Tootle,George Jones,653
Tootle,Jones,653
Tootle,Miss Abbey,653
